dormitory,region
Acacia Lodge,West 1
Toh Guan Dormitory,West 1
Westlite Dormitory Toh Guan Pte Ltd,West 1
"Kian Teck Dormitory
",West 2
"Kian Teck Hostel
",West 2
"Blue Stars Dormitory
",West 2
"Jurong Apartments
",West 2
"Avery Lodge
",West 3
"Cassia @ Penjuru
",West 3
Centurion / Lian Beng (Papan) Pte Ltd,West 3
Jurong Penjuru Dormitory 1,West 3
Jurong Penjuru Dormitory 2,West 3
CDPL Tuas Dormitory ,West 4
SCM Tuas Lodge ,West 4
Tuas South Dormitory,West 4
Tuas View Dormitory ,West 4
Seatown Dormitory,West 4
CPR Dormitory ,West 4
Hai Leck Enginering Dormitory,West 4
DDJV Dormitory,West 4
Space @ Tuas Apartments,West 4
Alaunia Lodge,North 1
Cochrane Lodge 1,North 1
Cochrane Lodge 2,North 1
Hulett Dormitory,North 1
North Coast Lodge ,North 1
Westlite Woodlands Dormitory,North 1
Woodlands Dormitory,North 1
Woodlands Lodge 1,North 1
Woodlands Lodge 2,North 1
Mandai Lodge 1,North 2
Westlite Juniper,North 2
Westlite Mandai Dormitory,North 2
Kranji Lodge 1,North 2
Sungei Tengah Lodge,North 3 
PPT Lodge 1A,Northeast 1
PPT Lodge 1B,Northeast 1
SSKBJV Package 1 Workersâ€™ Dormitory,East 1
MOT Dormitory,East 1
Changi Lodge 2,East 1
Tampines Dormitory,East 2
Homestay Lodge,Central 1
Shaw Lodge Dormitory,Central 1
The Leo,Central 1
Central Staff Apartments,Central 2
Pasir Panjang Residence,Southwest  1
Brani Residence,Southwest  1